RG;CLUSTER;LTPOD
EXIM_USDPABEAN CANTIAN-EXIM_USDNGORO;KOTA SURABAYA;2
EXIM_USDPABEAN CANTIAN-EXIM_USDNGORO;KOTA SURABAYA;2
EXIM_USDPABEAN CANTIAN-EXIM_USDNGORO;KOTA SURABAYA;2
EXIM_USDPABEAN CANTIAN-EXIM_USDNGORO;KOTA SURABAYA;2
EXIM_USDPABEAN CANTIAN-EXIM_USDNGORO;KOTA SURABAYA;2
EXIM_USDSEDATI-EXIM_USDNGORO;KOTA SURABAYA;2
EXIM_WIIPABEAN CANTIAN-EXIM_WIIKRIAN;JAWA TIMUR;3
EXIM_WIIPABEAN CANTIAN-EXIM_WIISEDATI;JAWA TIMUR;3
FLINGORO-FLIGUNUNG PUTRI;JABODETABEK;6
FLINGORO-FLIPENJARINGAN;JABODETABEK;6
FLINGORO-FLISIDOARJO;KOTA SURABAYA;2
FLIPRINGAPUS-FLISIDOARJO;JAWA TIMUR;3
FLISIDOARJO-FLICIAMPEL;JAWA BARAT;6
FLISIDOARJO-FLICIKARANG BARAT;JABODETABEK;6
FLISIDOARJO-FLICIKARANG SELATAN;JABODETABEK;6
FLISIDOARJO-FLICIMAHI SELATAN;JAWA BARAT;6
FLISIDOARJO-FLICISAAT;JAWA BARAT;6
FLISIDOARJO-FLIKLARI;JAWA BARAT;6
FLISIDOARJO-FLIPADALARANG;JAWA BARAT;6
FLISIDOARJO-FLIPAKU HAJI;JABODETABEK;6
FLISIDOARJO-FLIPANCORAN MAS;JABODETABEK;6
FLISIDOARJO-FLIPENJARINGAN;JABODETABEK;6
FLISIDOARJO-FLIPRINGAPUS;JAWA TENGAH;5
FLISIDOARJO-FLISUBANG;JAWA BARAT;6
FLISIDOARJO-FLITANJUNG PRIOK;JABODETABEK;6
FLITAMAN-FLINGORO;KOTA SURABAYA;2
GCMASEMROWO-GCMPUNGGING;JAWA TIMUR;3
GCMASEMROWO-GCMPUNGGING;KOTA SURABAYA;2
GCMASEMROWO-GCMRUNGKUT;KOTA SURABAYA;2
GCMASEMROWO-GCMWARU;JAWA TIMUR;3
GCMKEBOMAS-GCMASEMROWO;KOTA SURABAYA;2
GCMKEBOMAS-GCMDIWEK;JAWA TIMUR;3
GCMKEBOMAS-GCMNGORO;JAWA TIMUR;3
GCMKEBOMAS-GCMSINGOSARI;JAWA TIMUR;3
GCMKEBOMAS-GCMSUKOMANUNGGAL;KOTA SURABAYA;2
GCMKEBOMAS-GCMSUKOREJO PASURUAN;;
GCMKEBOMAS-GCMWARU;KOTA SURABAYA;2
GDINGAJUM-GDIBALARAJA;JABODETABEK;6
GDINGAJUM-GDIBAURENO;JAWA TIMUR;3
GDINGAJUM-GDIBOGOR UTARA;JABODETABEK;6
GDINGAJUM-GDICAKUNG;JABODETABEK;6
GDINGAJUM-GDICENGKARENG;JABODETABEK;6
GDINGAJUM-GDICIKARANG BARAT;JABODETABEK;6
GDINGAJUM-GDICIKUPA;JABODETABEK;6
GDINGAJUM-GDICILODONG;JABODETABEK;6
GDINGAJUM-GDICIPARAY;JAWA BARAT;6
GDINGAJUM-GDICISAAT SUKABUMI;JABODETABEK;6
GDINGAJUM-GDIGEDEBAGE;JAWA BARAT;6
GDINGAJUM-GDIHARJAMUKTI;JAWA BARAT;6
GDINGAJUM-GDIJAMBI SELATAN;JAMBI;9
GDINGAJUM-GDIKELAPA DUA TANGERANG;JABODETABEK;6
GDINGAJUM-GDIKELAPA GADING;JABODETABEK;6
GDINGAJUM-GDIPABEAN CANTIAN;KOTA SURABAYA;2
GDINGAJUM-GDIPANDEGLANG;BANTEN;7
GDINGAJUM-GDIPENJARINGAN;JABODETABEK;6
GDINGAJUM-GDISELEBAR;BENGKULU;10
GDINGAJUM-GDISERANG;BANTEN;7
GDINGAJUM-GDISUKAJADI PEKANBARU;RIAU;10
GDINGAJUM-GDISUKARAMI;SUMATERA SELATAN;8
GDINGAJUM-GDITANGERANG;JABODETABEK;6
GDINGAJUM-GDITANJUNG SENANG;LAMPUNG;7
HPKKEBOMAS-HPKRUNGKUT;KOTA SURABAYA;2
HPKKEBOMAS-HPKRUNGKUT;KOTA SURABAYA;2
INSKEJAYAN(1P)-INSBANJARNEGARA;JAWA TENGAH;5
INSKEJAYAN(1P)-INSBANYUMAS;JAWA TENGAH;5
INSKEJAYAN(1P)-INSBLORA;JAWA TENGAH;5
INSKEJAYAN(1P)-INSPOLANHARJO;JAWA TENGAH;5
INSKEJAYAN(1P)-INSPURWOREJO;JAWA TENGAH;5
INSKEJAYAN(1P)-INSREMBANG;JAWA TENGAH;5
INSKEJAYAN(1P)-INSSECANG;JAWA TENGAH;5
INSKEJAYAN(1P)-INSSIDOREJO SALATIGA;JAWA TENGAH;5
INSKEJAYAN(1P)-INSSUKOHARJO;JAWA TENGAH;5
INSKEJAYAN(1P)-INSTEMPURAN MAGELANG;JAWA TENGAH;5
INSKEJAYAN(1P)-INSUMBULHARJO;JAWA TENGAH;5
INSKEJAYAN(1P)-INSWONOSARI GUNUNG KIDUL;JAWA TENGAH;5
ITTASEMROWO-ITTCIKUPA;JABODETABEK;6
ITTBENOWO-ITTKRIAN;KOTA SURABAYA;2
ITTKREMBANGAN-ITTKRIAN;KOTA SURABAYA;2
JMSREMBANG PASURUAN-JMSBEJI PASURUAN;KOTA SURABAYA;2
JPLPANDAAN-JPLBANYUURIP;JAWA TENGAH;5
JPLPANDAAN-JPLKEBUMEN;JAWA TENGAH;5
JPLPANDAAN-JPLPURWONEGORO;JAWA TENGAH;5
JPLPANDAAN-JPLSOKARAJA;JAWA TENGAH;5
KFISAYUNG(1P)-KFIKEDUNGWARU;;5
KFISAYUNG(1P)-KFIPETERONGAN;;5
KFISAYUNG-KFIKREMBANGAN(BL);;5
KTIMOJOSARI-KTICIKARANG BARAT;JABODETABEK;6
KTIPANDAAN-KTIJAGAKARSA;JABODETABEK;6
KTIPANDAAN-KTIKOSAMBI;JABODETABEK;6
KTIPANDAAN-KTIPENJARINGAN;JABODETABEK;6
KTITULANGAN-KTICIKARANG BARAT;JABODETABEK;6
KTITULANGAN-KTIKARAWANG TIMUR;JAWA BARAT;6
KTITULANGAN-KTISUKARAJA;JABODETABEK;6
LAMBENOWO-LAMBABAKAN CIPARAY;JAWA BARAT;6
LAMBENOWO-LAMBUBUTAN;KOTA SURABAYA;2
LAMBENOWO-LAMBUBUTAN;KOTA SURABAYA;2
LAMBENOWO-LAMBUBUTAN;KOTA SURABAYA;2
LAMBENOWO-LAMCIBITUNG;JABODETABEK;6
LAMBENOWO-LAMGRESIK;KOTA SURABAYA;2
LAMBENOWO-LAMKEBOMAS;JAWA TIMUR;3
LAMGRESIK-LAMBUBUTAN;KOTA SURABAYA;2
LAMGRESIK-LAMBUBUTAN;KOTA SURABAYA;2
LAMGRESIK-LAMBUBUTAN;KOTA SURABAYA;2
LAMGRESIK-LAMBUBUTAN;KOTA SURABAYA;2
LAMGRESIK-LAMCIBITUNG;JABODETABEK;6
LAMGRESIK-LAMCIBITUNG;JABODETABEK;6
LAMGRESIK-LAMCIBITUNG;JABODETABEK;6
LAMKEBOMAS-LAMBUBUTAN;KOTA SURABAYA;2
LAMKEBOMAS-LAMBUBUTAN;KOTA SURABAYA;2
LAMKEBOMAS-LAMCENGKARENG;JABODETABEK;6
LAMKEBOMAS-LAMCIBITUNG;JABODETABEK;6
LGLDEKET-LGLBANDUNG KULON;;6
LGLDEKET-LGLCIBODAS;JABODETABEK;6
LGLDEKET-LGLGUNUNG PUTRI;JABODETABEK;6
LNKKUTOREJO-LNKCIKUPA;JABODETABEK;6
LNKKUTOREJO-LNKGUNUNG SINDUR;JAWA TENGAH;5
LNKKUTOREJO-LNKKLARI;JAWA BARAT;6
LNKKUTOREJO-LNKMANYAR;KOTA SURABAYA;2
LNKKUTOREJO-LNKMEDAN SATRIA;JABODETABEK;6
LTGASEMROWO-LTGMANYAR;JABODETABEK;6
LTGKELAPA GADING-LTGMANYAR;JABODETABEK;6
LTLASEMROWO (OW)-LTLGEMPOL;JAWA BARAT;6
LTLASEMROWO (OW)-LTLJOMBANG;BANTEN;5
LTLASEMROWO(OW)-LTLMANYAR;KOTA SURABAYA;2
LTLASEMROWO-LTLASEMROWO;KOTA SURABAYA;2
LTLASEMROWO-LTLASEMROWO;KOTA SURABAYA;2
LTLASEMROWO-LTLASEMROWO(BL);KOTA SURABAYA;2
LTLASEMROWO-LTLBADAS KEDIRI;JAWA TIMUR;3
LTLASEMROWO-LTLBALONGBENDO;KOTA SURABAYA;2
LTLASEMROWO-LTLBALONGBENDO(TJIWI);KOTA SURABAYA;2
LTLASEMROWO-LTLBANGIL;JAWA TIMUR;3
LTLASEMROWO-LTLBANGIL;JAWA TIMUR;3
LTLASEMROWO-LTLBANGIL;JAWA TIMUR;3
LTLASEMROWO-LTLBANGIL;KOTA SURABAYA;2
LTLASEMROWO-LTLBANGSAL;KOTA SURABAYA;2
LTLASEMROWO-LTLBATU;JAWA TIMUR;3
LTLASEMROWO-LTLBATU;JAWA TIMUR;3
LTLASEMROWO-LTLBEJI;JAWA TIMUR;3
LTLASEMROWO-LTLBEJI;JAWA TIMUR;3
LTLASEMROWO-LTLBEJI;JAWA TIMUR;3
LTLASEMROWO-LTLBEJI PASURUAN;KOTA SURABAYA;2
LTLASEMROWO-LTLBEJI PASURUAN;KOTA SURABAYA;2
LTLASEMROWO-LTLBENOWO;KOTA SURABAYA;2
LTLASEMROWO-LTLBLIMBING;JAWA TIMUR;3
LTLASEMROWO-LTLBOJONEGORO;JAWA TIMUR;3
LTLASEMROWO-LTLBOJONEGORO;JAWA TIMUR;3
LTLASEMROWO-LTLBUBUTAN;KOTA SURABAYA;2
LTLASEMROWO-LTLBUDURAN;KOTA SURABAYA;2
LTLASEMROWO-LTLBUDURAN;KOTA SURABAYA;2
LTLASEMROWO-LTLBULAK;KOTA SURABAYA;2
LTLASEMROWO-LTLBULULAWANG;JAWA TIMUR;3
LTLASEMROWO-LTLBUNGAH;KOTA SURABAYA;2
LTLASEMROWO-LTLCANDI;KOTA SURABAYA;2
LTLASEMROWO-LTLCERME;KOTA SURABAYA;2
LTLASEMROWO-LTLCIAMPEL;JABODETABEK;6
LTLASEMROWO-LTLCIBITUNG;JABODETABEK;6
LTLASEMROWO-LTLCIBITUNG;JABODETABEK;6
LTLASEMROWO-LTLCIKARANG BARAT;JABODETABEK;6
LTLASEMROWO-LTLCIKARANG PUSAT;JABODETABEK;6
LTLASEMROWO-LTLDAMPIT;KOTA SURABAYA;2
LTLASEMROWO-LTLDRIYOREJO;KOTA SURABAYA;2
LTLASEMROWO-LTLDUKUH PAKIS;KOTA SURABAYA;2
LTLASEMROWO-LTLGAMPENGREJO;JAWA TIMUR;3
LTLASEMROWO-LTLGAYUNGAN;KOTA SURABAYA;2
LTLASEMROWO-LTLGEDANGAN;KOTA SURABAYA;2
LTLASEMROWO-LTLGEDANGAN;KOTA SURABAYA;2
LTLASEMROWO-LTLGEMPOL;JAWA TIMUR;3
LTLASEMROWO-LTLGEMPOL;JAWA TIMUR;3
LTLASEMROWO-LTLGEMPOL;JAWA TIMUR;3
LTLASEMROWO-LTLGEMPOL;JAWA TIMUR;3
LTLASEMROWO-LTLGEMPOL;JAWA TIMUR;3
LTLASEMROWO-LTLGEMPOL;JAWA TIMUR;3
LTLASEMROWO-LTLGENDING;KOTA SURABAYA;2
LTLASEMROWO-LTLGENTENG;KOTA SURABAYA;2
LTLASEMROWO-LTLGRESIK;KOTA SURABAYA;2
LTLASEMROWO-LTLGUBENG;KOTA SURABAYA;2
LTLASEMROWO-LTLGUDO;KOTA SURABAYA;2
LTLASEMROWO-LTLGUDO;KOTA SURABAYA;2
LTLASEMROWO-LTLGUNUNG ANYAR;KOTA SURABAYA;2
LTLASEMROWO-LTLJAMBANGAN;KOTA SURABAYA;2
LTLASEMROWO-LTLJENU TUBAN;JAWA TIMUR;3
LTLASEMROWO-LTLJETIS;KOTA SURABAYA;2
LTLASEMROWO-LTLJOMBANG;JAWA TIMUR;3
LTLASEMROWO-LTLJOMBANG;JAWA TIMUR;3
LTLASEMROWO-LTLJOMBANG;JAWA TIMUR;3
LTLASEMROWO-LTLJOMBANG;JAWA TIMUR;3
LTLASEMROWO-LTLJOMBANG;JAWA TIMUR;3
LTLASEMROWO-LTLKADEMANGAN;JAWA TIMUR;3
LTLASEMROWO-LTLKANIGARAN;JAWA TIMUR;3
LTLASEMROWO-LTLKANIGARAN;JAWA TIMUR;3
LTLASEMROWO-LTLKARANG PILANG;KOTA SURABAYA;2
LTLASEMROWO-LTLKARANG PILANG;KOTA SURABAYA;2
LTLASEMROWO-LTLKARANG PILANG;KOTA SURABAYA;2
LTLASEMROWO-LTLKARANG PLOSO;KOTA SURABAYA;2
LTLASEMROWO-LTLKARTOHARJO;JAWA TIMUR;3
LTLASEMROWO-LTLKARTOHARJO;JAWA TIMUR;3
LTLASEMROWO-LTLKARTOHARJO MADIUN;JAWA TIMUR;3
LTLASEMROWO-LTLKEBOMAS;KOTA SURABAYA;2
LTLASEMROWO-LTLKEBOMAS(BL);KOTA SURABAYA;2
LTLASEMROWO-LTLKEDUNGKANDANG;JAWA TIMUR;3
LTLASEMROWO-LTLKEDUNGKANDANG;JAWA TIMUR;3
LTLASEMROWO-LTLKEDUNGKANDANG;JAWA TIMUR;3
LTLASEMROWO-LTLKEMLAGI;KOTA SURABAYA;2
LTLASEMROWO-LTLKENJERAN;KOTA SURABAYA;2
LTLASEMROWO-LTLKESAMBEN JOMBANG;JAWA TIMUR;3
LTLASEMROWO-LTLKLARI;JAWA BARAT;6
LTLASEMROWO-LTLKLOJEN;JAWA TIMUR;3
LTLASEMROWO-LTLKOTA KEDIRI;JAWA TIMUR;3
LTLASEMROWO-LTLKOTA KEDIRI;JAWA TIMUR;3
LTLASEMROWO-LTLKRAGILAN;BANTEN;5
LTLASEMROWO-LTLKREMBANGAN;KOTA SURABAYA;2
LTLASEMROWO-LTLKRIAN;KOTA SURABAYA;2
LTLASEMROWO-LTLKRIAN;KOTA SURABAYA;2
LTLASEMROWO-LTLKRIAN;KOTA SURABAYA;2
LTLASEMROWO-LTLKUTOREJO;KOTA SURABAYA;2
LTLASEMROWO-LTLLAKARSANTRI;KOTA SURABAYA;2
LTLASEMROWO-LTLLAMONGAN;JAWA TIMUR;3
LTLASEMROWO-LTLLAMONGAN;JAWA TIMUR;3
LTLASEMROWO-LTLLAWANG;JAWA TIMUR;3
LTLASEMROWO-LTLLAWANG;JAWA TIMUR;3
LTLASEMROWO-LTLLAWANG;JAWA TIMUR;3
LTLASEMROWO-LTLLECES;JAWA TIMUR;3
LTLASEMROWO-LTLLECES;JAWA TIMUR;3
LTLASEMROWO-LTLLUMAJANG;JAWA TIMUR;3
LTLASEMROWO-LTLMAGERSARI;KOTA SURABAYA;2
LTLASEMROWO-LTLMANYAR;KOTA SURABAYA;2
LTLASEMROWO-LTLMANYAR;KOTA SURABAYA;2
LTLASEMROWO-LTLMANYAR(DKJ);JAWA TENGAH;5
LTLASEMROWO-LTLMENGANTI;KOTA SURABAYA;2
LTLASEMROWO-LTLMOJOAGUNG;JAWA TIMUR;3
LTLASEMROWO-LTLMOJOANYAR;JAWA TIMUR;3
LTLASEMROWO-LTLMOJOSARI;KOTA SURABAYA;2
LTLASEMROWO-LTLMOJOSARI;KOTA SURABAYA;2
LTLASEMROWO-LTLMULYOREJO;KOTA SURABAYA;2
LTLASEMROWO-LTLNGAJUM;JAWA TIMUR;3
LTLASEMROWO-LTLNGANJUK;JAWA TIMUR;3
LTLASEMROWO-LTLNGORO;KOTA SURABAYA;2
LTLASEMROWO-LTLPABEAN CANTIAN;KOTA SURABAYA;2
LTLASEMROWO-LTLPAGAK;JAWA TIMUR;3
LTLASEMROWO-LTLPAGAK;JAWA TIMUR;3
LTLASEMROWO-LTLPAGAK;JAWA TIMUR;3
LTLASEMROWO-LTLPAGAK;JAWA TIMUR;3
LTLASEMROWO-LTLPAITON;JAWA TIMUR;3
LTLASEMROWO-LTLPAKAL;KOTA SURABAYA;2
LTLASEMROWO-LTLPAKIS;JAWA TIMUR;3
LTLASEMROWO-LTLPAKIS;JAWA TIMUR;3
LTLASEMROWO-LTLPAKISAJI;JAWA TIMUR;3
LTLASEMROWO-LTLPAKISAJI;JAWA TIMUR;3
LTLASEMROWO-LTLPANCENG;KOTA SURABAYA;2
LTLASEMROWO-LTLPANDAAN;JAWA TIMUR;3
LTLASEMROWO-LTLPANDAAN;JAWA TIMUR;3
LTLASEMROWO-LTLPANDAAN;JAWA TIMUR;3
LTLASEMROWO-LTLPANDAN LANDUNG;KOTA SURABAYA;2
LTLASEMROWO-LTLPANGGUNGREJO;JAWA TIMUR;3
LTLASEMROWO-LTLPANGGUNGREJO;JAWA TIMUR;3
LTLASEMROWO-LTLPANGGUNGREJO;JAWA TIMUR;3
LTLASEMROWO-LTLPANGGUNGREJO;JAWA TIMUR;3
LTLASEMROWO-LTLPANGGUNGREJO;JAWA TIMUR;3
LTLASEMROWO-LTLPANGGUNGREJO;JAWA TIMUR;3
LTLASEMROWO-LTLPLOSO;JAWA TIMUR;3
LTLASEMROWO-LTLPRAJURIT KULON;KOTA SURABAYA;2
LTLASEMROWO-LTLPUNGGING;KOTA SURABAYA;2
LTLASEMROWO-LTLPURI;JAWA TIMUR;3
LTLASEMROWO-LTLPURWOASRI;JAWA TIMUR;3
LTLASEMROWO-LTLPURWODADI;JAWA TIMUR;3
LTLASEMROWO-LTLPURWODADI;JAWA TIMUR;3
LTLASEMROWO-LTLPURWODADI;JAWA TIMUR;3
LTLASEMROWO-LTLPURWOSARI;JAWA TIMUR;3
LTLASEMROWO-LTLPURWOSARI;JAWA TIMUR;3
LTLASEMROWO-LTLPURWOSARI;JAWA TIMUR;3
LTLASEMROWO-LTLPURWOSARI;JAWA TIMUR;3
LTLASEMROWO-LTLPURWOSARI(INDOLAKTO);JAWA TENGAH;5
LTLASEMROWO-LTLREJOSO;JAWA TIMUR;3
LTLASEMROWO-LTLREMBANG;JAWA TIMUR;3
LTLASEMROWO-LTLREMBANG;JAWA TIMUR;3
LTLASEMROWO-LTLREMBANG;JAWA TIMUR;3
LTLASEMROWO-LTLRUNGKUT;KOTA SURABAYA;2
LTLASEMROWO-LTLRUNGKUT;KOTA SURABAYA;2
LTLASEMROWO-LTLRUNGKUT;KOTA SURABAYA;2
LTLASEMROWO-LTLSAMBIKEREP;KOTA SURABAYA;2
LTLASEMROWO-LTLSAWAHAN;KOTA SURABAYA;2
LTLASEMROWO-LTLSEDATI;KOTA SURABAYA;2
LTLASEMROWO-LTLSEDAYU;KOTA SURABAYA;2
LTLASEMROWO-LTLSEMAMPIR;KOTA SURABAYA;2
LTLASEMROWO-LTLSIDOARJO;KOTA SURABAYA;2
LTLASEMROWO-LTLSIDOARJO;KOTA SURABAYA;2
LTLASEMROWO-LTLSIMOKERTO;KOTA SURABAYA;2
LTLASEMROWO-LTLSINGOSARI;JAWA TIMUR;3
LTLASEMROWO-LTLSUKODONO;KOTA SURABAYA;2
LTLASEMROWO-LTLSUKOLILO;KOTA SURABAYA;2
LTLASEMROWO-LTLSUKOMANUNGGAL;KOTA SURABAYA;2
LTLASEMROWO-LTLSUKOREJO;KOTA SURABAYA;2
LTLASEMROWO-LTLSUKUN;JAWA TIMUR;3
LTLASEMROWO-LTLSUKUN;JAWA TIMUR;3
LTLASEMROWO-LTLTAMAN;KOTA SURABAYA;2
LTLASEMROWO-LTLTAMBAKSARI;KOTA SURABAYA;2
LTLASEMROWO-LTLTANDES;KOTA SURABAYA;2
LTLASEMROWO-LTLTANGGULANGIN;KOTA SURABAYA;2
LTLASEMROWO-LTLTEGALSARI;KOTA SURABAYA;2
LTLASEMROWO-LTLTENGGILIS MEJOYO;KOTA SURABAYA;2
LTLASEMROWO-LTLTENGGILIS MEJOYO;KOTA SURABAYA;2
LTLASEMROWO-LTLTONGAS;JAWA TIMUR;3
LTLASEMROWO-LTLTROWULAN;KOTA SURABAYA;2
LTLASEMROWO-LTLTUBAN;JAWA TIMUR;3
LTLASEMROWO-LTLTUBAN;JAWA TIMUR;3
LTLASEMROWO-LTLTULUNGAGUNG;JAWA TIMUR;3
LTLASEMROWO-LTLWAGIR;JAWA TIMUR;3
LTLASEMROWO-LTLWAGIR;JAWA TIMUR;3
LTLASEMROWO-LTLWAGIR;JAWA TIMUR;3
LTLASEMROWO-LTLWAGIR;JAWA TIMUR;3
LTLASEMROWO-LTLWARU;KOTA SURABAYA;2
LTLASEMROWO-LTLWATES;KOTA SURABAYA;2
LTLASEMROWO-LTLWIYUNG;KOTA SURABAYA;2
LTLASEMROWO-LTLWONOAYU;KOTA SURABAYA;2
LTLASEMROWO-LTLWONOAYU;KOTA SURABAYA;2
LTLASEMROWO-LTLWONOCOLO;KOTA SURABAYA;2
LTLASEMROWO-LTLWONOKROMO;KOTA SURABAYA;2
LTLASEMROWO-LTLWRINGINANOM;KOTA SURABAYA;2
LTLASEMROWO-LTLWRINGINANOM;KOTA SURABAYA;2
LTLBALONGBENDO-LTLASEMROWO(BL);KOTA SURABAYA;2
LTLBALONGBENDO-LTLKEBOMAS(BL);KOTA SURABAYA;2
LTLBANGIL-LTLASEMROWO(BL);KOTA SURABAYA;2
LTLBANGIL-LTLKEBOMAS(BL);KOTA SURABAYA;2
LTLBATU-LTLASEMROWO(BL);KOTA SURABAYA;2
LTLBATU-LTLKEBOMAS(BL);KOTA SURABAYA;2
LTLBEJI-LTLASEMROWO(BL);KOTA SURABAYA;2
LTLBEJI-LTLKEBOMAS(BL);KOTA SURABAYA;2
LTLBENOWO-LTLASEMROWO;JAWA TIMUR;3
LTLBENOWO-LTLASEMROWO;JAWA TIMUR;3
LTLBENOWO-LTLASEMROWO(BL);KOTA SURABAYA;2
LTLBENOWO-LTLKEBOMAS(BL);KOTA SURABAYA;2
LTLBOJONEGORO-LTLASEMROWO(BL);KOTA SURABAYA;2
LTLBOJONEGORO-LTLKEBOMAS(BL);KOTA SURABAYA;2
LTLBUBUTAN-LTLASEMROWO(BL);KOTA SURABAYA;2
LTLBUBUTAN-LTLKEBOMAS(BL);KOTA SURABAYA;2
LTLBUDURAN-LTLASEMROWO(BL);KOTA SURABAYA;2
LTLBUDURAN-LTLKEBOMAS(BL);KOTA SURABAYA;2
LTLBULAK-LTLASEMROWO(BL);KOTA SURABAYA;2
LTLBULAK-LTLKEBOMAS(BL);KOTA SURABAYA;2
LTLBUNGAH-LTLASEMROWO(BL);KOTA SURABAYA;2
LTLBUNGAH-LTLKEBOMAS(BL);KOTA SURABAYA;2
LTLCANDI-LTLASEMROWO(BL);KOTA SURABAYA;2
LTLCANDI-LTLKEBOMAS(BL);KOTA SURABAYA;2
LTLDRIYOREJO-LTLASEMROWO(BL);KOTA SURABAYA;2
LTLDRIYOREJO-LTLGEMPOL(OW);KOTA SURABAYA;2
LTLDRIYOREJO-LTLKEBOMAS(BL);KOTA SURABAYA;2
LTLDRIYOREJO-LTLMAYANGAN;JAWA TENGAH;5
LTLDUKUH PAKIS-LTLASEMROWO(BL);KOTA SURABAYA;2
LTLDUKUH PAKIS-LTLKEBOMAS(BL);KOTA SURABAYA;2
LTLGAYUNGAN-LTLASEMROWO(BL);KOTA SURABAYA;2
LTLGAYUNGAN-LTLKEBOMAS(BL);KOTA SURABAYA;2
LTLGEDANGAN-LTLASEMROWO(BL);KOTA SURABAYA;2
LTLGEDANGAN-LTLKEBOMAS(BL);KOTA SURABAYA;2
LTLGEMPOL-LTLASEMROWO(BL);KOTA SURABAYA;2
LTLGEMPOL-LTLKEBOMAS(BL);KOTA SURABAYA;2
LTLGENTENG-LTLASEMROWO(BL);KOTA SURABAYA;2
LTLGENTENG-LTLKEBOMAS(BL);KOTA SURABAYA;2
LTLGRESIK-LTLASEMROWO(BL);KOTA SURABAYA;2
LTLGRESIK-LTLBENOWO;KOTA SURABAYA;2
LTLGRESIK-LTLGENDING;JAWA TIMUR;3
LTLGRESIK-LTLJETIS;KOTA SURABAYA;2
LTLGRESIK-LTLJETIS;KOTA SURABAYA;2
LTLGRESIK-LTLKEBOMAS(BL);KOTA SURABAYA;2
LTLGUBENG-LTLASEMROWO(BL);KOTA SURABAYA;2
LTLGUBENG-LTLKEBOMAS(BL);KOTA SURABAYA;2
LTLGUNUNG ANYAR-LTLASEMROWO(BL);KOTA SURABAYA;2
LTLGUNUNG ANYAR-LTLKEBOMAS(BL);KOTA SURABAYA;2
LTLJAMBANGAN-LTLASEMROWO(BL);KOTA SURABAYA;2
LTLJAMBANGAN-LTLKEBOMAS(BL);KOTA SURABAYA;2
LTLJETIS-LTLASEMROWO(BL);KOTA SURABAYA;2
LTLJETIS-LTLKEBOMAS(BL);KOTA SURABAYA;2
LTLJOMBANG-LTLASEMROWO(BL);KOTA SURABAYA;2
LTLJOMBANG-LTLKEBOMAS(BL);KOTA SURABAYA;2
LTLKANIGARAN-LTLASEMROWO(BL);KOTA SURABAYA;2
LTLKANIGARAN-LTLKEBOMAS(BL);KOTA SURABAYA;2
LTLKARANG PILANG-LTLASEMROWO(BL);KOTA SURABAYA;2
LTLKARANG PILANG-LTLKEBOMAS(BL);KOTA SURABAYA;2
LTLKEBOMAS(1P)-LTLKALIWUNGU;JAWA TIMUR;3
LTLKEBOMAS(OW)-LTLMANYAR;KOTA SURABAYA;2
LTLKEBOMAS(OW)-LTLMOJOAGUNG;JAWA TIMUR;3
LTLKEBOMAS-LTLASEMROWO;KOTA SURABAYA;2
LTLKEBOMAS-LTLASEMROWO(BL);KOTA SURABAYA;2
LTLKEBOMAS-LTLBALONGBENDO;KOTA SURABAYA;2
LTLKEBOMAS-LTLBALONGBENDO(TJIWI);KOTA SURABAYA;2
LTLKEBOMAS-LTLBANGIL;JAWA TIMUR;3
LTLKEBOMAS-LTLBANGIL;JAWA TIMUR;3
LTLKEBOMAS-LTLBATU;JAWA TIMUR;3
LTLKEBOMAS-LTLBEJI;JAWA TIMUR;3
LTLKEBOMAS-LTLBEJI;JAWA TIMUR;3
LTLKEBOMAS-LTLBENOWO;KOTA SURABAYA;2
LTLKEBOMAS-LTLBOJONEGORO;JAWA TIMUR;3
LTLKEBOMAS-LTLBUBUTAN;KOTA SURABAYA;2
LTLKEBOMAS-LTLBUDURAN;KOTA SURABAYA;2
LTLKEBOMAS-LTLBULAK;KOTA SURABAYA;2
LTLKEBOMAS-LTLBUNGAH;KOTA SURABAYA;2
LTLKEBOMAS-LTLCANDI;KOTA SURABAYA;2
LTLKEBOMAS-LTLDRIYOREJO;KOTA SURABAYA;2
LTLKEBOMAS-LTLDUKUH PAKIS;KOTA SURABAYA;2
LTLKEBOMAS-LTLGAYUNGAN;KOTA SURABAYA;2
LTLKEBOMAS-LTLGEDANGAN;KOTA SURABAYA;2
LTLKEBOMAS-LTLGEMPOL;JAWA TIMUR;3
LTLKEBOMAS-LTLGEMPOL;JAWA TIMUR;3
LTLKEBOMAS-LTLGENTENG;KOTA SURABAYA;2
LTLKEBOMAS-LTLGRESIK;KOTA SURABAYA;2
LTLKEBOMAS-LTLGUBENG;KOTA SURABAYA;2
LTLKEBOMAS-LTLGUDO;JAWA TIMUR;3
LTLKEBOMAS-LTLGUDO;JAWA TIMUR;3
LTLKEBOMAS-LTLGUNUNG ANYAR;KOTA SURABAYA;2
LTLKEBOMAS-LTLJAMBANGAN;KOTA SURABAYA;2
LTLKEBOMAS-LTLJETIS;KOTA SURABAYA;2
LTLKEBOMAS-LTLJOMBANG;JAWA TIMUR;3
LTLKEBOMAS-LTLJOMBANG;JAWA TIMUR;3
LTLKEBOMAS-LTLKALIWUNGU;JAWA TIMUR;3
LTLKEBOMAS-LTLKANIGARAN;JAWA TIMUR;3
