"TMS ID","Carrier Name","Charge Rate","Rate Basis","Rate","Closed Date","Load Group","Charge Description","Carrier Reference","Rate Change Approval Date","Shipment Reference Number","Rate Change Request Date"
58801947,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","12/01/2022 17:58","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","18/01/2022 23:28","GD3221691306/0080140670","18/01/2022 10:00"
58802935,"BAHANA PRESTASI","750,000.00","FLAT","750,000.00","14/01/2022 17:35","SURABAYA LOG PACK","TMB_BONGKAR","0027","17/01/2022 07:41","40541216","31/12/2021 10:52"
58802939,"BAHANA PRESTASI","750,000.00","FLAT","750,000.00","06/01/2022 16:24","SURABAYA LOG PACK","TMB_BONGKAR","0027","06/01/2022 16:43","40541215","31/12/2021 10:54"
58802959,"BAHANA PRESTASI","500,000.00","FLAT","500,000.00","06/01/2022 15:13","SURABAYA LOG PACK","TMB_BONGKAR","0027","06/01/2022 15:35","40541223","31/12/2021 13:16"
58802959,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","06/01/2022 15:13","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","06/01/2022 15:35","40541223","31/12/2021 13:16"
58803311,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","10/01/2022 16:45","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","11/01/2022 07:54","41134019","31/12/2021 13:55"
58803311,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","10/01/2022 16:45","SURABAYA LOG PACK","TMB_BONGKAR","0027","11/01/2022 07:54","41134019","31/12/2021 13:55"
58803312,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","12/01/2022 18:59","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","14/01/2022 11:40","41135283","14/01/2022 09:38"
58803324,"BAHANA PRESTASI","170,000.00","FLAT","170,000.00","12/01/2022 17:45","SURABAYA LOG PACK","TMB_BONGKAR","0027"," ","8872010030"," "
58807631,"BAHANA PRESTASI","31,500.00","FLAT","31,500.00","03/01/2022 11:08","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","03/01/2022 13:04","1000367770","02/01/2022 13:51"
58809787,"BAHANA PRESTASI","70,000.00","FLAT","70,000.00","10/01/2022 09:15","SURABAYA LOG BULK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","11/01/2022 07:54","0082541795","04/01/2022 10:58"
58809787,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","10/01/2022 09:15","SURABAYA LOG BULK","TMB_BONGKAR","0027","11/01/2022 07:54","0082541795","04/01/2022 10:58"
