Lean ID;Current Requested Charge Amount;Charge Requested
58636254;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58636254;100000;TMB_TOLL
58636254;100000;TMB_KOMISI SUPIR
58640212;100000;TMB_BONGKAR
58640215;100000;TMB_TOLL
58640237;100000;TMB_KOMISI SUPIR
58640237;100000;TMB_TOLL
58640367;100000;TMB_TOLL
58640369;100000;TMB_TOLL
58640386;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58640443;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58640626;100000;TMB_MULTIDROP
58640626;100000;TMB_KOMISI SUPIR
58640681;100000;UNBILLED BONGKAR
58640712;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58640712;100000;TMB_MULTIDROP
58640714;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58640727;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58640727;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58640749;100000;TMB_BONGKAR
58640749;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58640749;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58640750;100000;TMB_BONGKAR
58640750;100000;TMB_TOLL
58640751;100000;TMB_BONGKAR
58640751;100000;TMB_TOLL
58640751;100000;TMB_BONGKAR
58640752;100000;TMB_BONGKAR
58640752;100000;TMB_TOLL
58644079;100000;TMB_TOLL
58644079;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58646852;100000;TMB_TOLL
58648056;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58655418;100000;TMB_MULTIDROP
58655442;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58655442;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58655455;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58655654;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58655654;100000;UNBILLED BONGKAR
58655654;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58655654;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58655656;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58655656;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58655656;100000;TMB_MULTIDROP
58655656;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58655656;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58655656;100000;TMB_MULTIDROP
58655656;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58655674;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58655674;100000;TMB_BONGKAR
58655674;100000;TMB_TOLL
58655678;100000;TMB_BONGKAR
58655681;100000;TMB_RAPIDTEST
58664799;100000;TMB_BONGKAR
58664799;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58664799;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58664803;100000;TMB_BONGKAR
58664803;100000;TMB_TOLL
58664803;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58670254;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58670384;100000;TMB_MULTIDROP
58670384;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58670384;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58671449;100000;TMB_TOLL
58675541;100000;TMB_MULTIDROP
58675541;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58675541;100000;TMB_MULTIDROP
58675541;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58675698;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58677107;100000;TMB_BONGKAR
58677107;100000;TMB_TOLL
58677107;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58677107;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58677107;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58682450;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58683703;100000;TMB_TOLL
58684633;100000;TMB_BONGKAR
58684633;100000;TMB_TOLL
58684642;100000;TMB_BONGKAR
58691884;100000;TMB_RAPIDTEST
58691887;100000;TMB_BONGKAR
58691887;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58691893;100000;TMB_BONGKAR
58695016;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58695016;100000;TMB_KOMISI SUPIR
58695017;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58695027;100000;TMB_TOLL
58696279;100000;TMB_TOLL
58697111;100000;TMB_TOLL
