"TMS ID","Shipment Reference Number","Carrier Name","Charge Code Group","Charge Rate","Rate Basis","Rate","Closed Date","AP Vendor Code","Load Group","Order Groups","Shipper Load Number","First Pick Due Date","First Pick Name","Last Drop City","Last Drop Name","Load Status","Mode","Number of Stops","Pieces","Rate Change Carrier Comment","Rate Change Request Date","Trailer Description","Weight (kg)","Charge Description","Charge Code Category","Carrier Reference","Location Name","Payable Currency","Rate Change Approval Date"
58340567,"0082476791","BAHANA PRESTASI","OTHER CHARGES","200,000.00","FLAT","200,000.00","15/11/2021 09:57","5000000027","SURABAYA LOG BULK","SURABAYA LOG BULK","58340567","09/11/2021 09:00","PKGGRESIK","SOCAH","PKGSOCAH(OW)","Completed","TL",2,30000," ","10/11/2021 14:56","TRONTON_LOSSBAK","30,000.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","15/11/2021 16:42"
58341179,"40518678","BAHANA PRESTASI","OTHER CHARGES","600,000.00","FLAT","600,000.00","17/11/2021 17:11","5000000027","SURABAYA LOG PACK","SURABAYA LOG PACK","58341179","09/11/2021 07:00","SMRRUNGKUT","PENJARINGAN","SMRPENJARINGAN","Completed","TL",2,1200," ","10/11/2021 08:57","TRONTON_WB","20,000.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","18/11/2021 08:47"
58341225,"1000353026","BAHANA PRESTASI","OTHER CHARGES","75,600.00","FLAT","75,600.00","10/11/2021 13:54","5000000027","SURABAYA RENTAL TRIP","SURABAYA RENTAL TRIP","58341225","09/11/2021 12:00","NLSBUDURAN","KALIWATES","NLSKALIWATES(SAT_JEMBER)","Completed","TL",2,18," ","09/11/2021 16:17","CDE_CHILLER","18.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","11/11/2021 08:33"
58341226,"1000353028","BAHANA PRESTASI","OTHER CHARGES","88,500.00","FLAT","88,500.00","10/11/2021 13:54","5000000027","SURABAYA RENTAL TRIP","SURABAYA RENTAL TRIP","58341226","09/11/2021 12:00","NLSBUDURAN","SUKUN","NLSSUKUN(SAT_MALANG)","Completed","TL",2,18," ","09/11/2021 16:14","CDE_CHILLER","18.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","11/11/2021 08:33"
58341228,"1000353029","BAHANA PRESTASI","OTHER CHARGES","55,000.00","FLAT","55,000.00","10/11/2021 13:54","5000000027","SURABAYA RENTAL TRIP","SURABAYA RENTAL TRIP","58341228","09/11/2021 12:00","NLSBUDURAN","SUKUN","NLSSUKUN(IDG_MALANG)","Completed","TL",2,18," ","09/11/2021 16:14","CDE_CHILLER","18.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","11/11/2021 08:33"
58341229,"1000353044","BAHANA PRESTASI","OTHER CHARGES","22,800.00","FLAT","22,800.00","10/11/2021 13:54","5000000027","SURABAYA RENTAL TRIP","SURABAYA RENTAL TRIP","58341229","09/11/2021 12:00","NLSBUDURAN","SUMBER SARI","NLSSUMBER SARI(IDM_JEMBER)","Completed","TL",2,18," ","09/11/2021 16:16","CDE_CHILLER","18.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","11/11/2021 08:33"
58341231,"1000353046","BAHANA PRESTASI","OTHER CHARGES","96,000.00","FLAT","96,000.00","10/11/2021 13:54","5000000027","SURABAYA RENTAL TRIP","SURABAYA RENTAL TRIP","58341231","09/11/2021 12:00","NLSBUDURAN","DUDUK SAMPEYAN","NLSDUDUK SAMPEYAN(IDM_GRESIK)","Completed","TL",2,18," ","09/11/2021 16:13","CDE_CHILLER","18.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","11/11/2021 08:33"
58341232,"1000353024,1000353048","BAHANA PRESTASI","OTHER CHARGES","32,500.00","FLAT","32,500.00","10/11/2021 13:54","5000000027","SURABAYA RENTAL TRIP","SURABAYA RENTAL TRIP","58341232","09/11/2021 12:00","NLSBUDURAN","GEDANGAN","NLSGEDANGAN(IDM_SURABAYA)","Completed","TL",3,36," ","09/11/2021 16:15","CDE_CHILLER","36.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","11/11/2021 08:33"
58341278,"S21110900045","BAHANA PRESTASI","OTHER CHARGES","500,000.00","FLAT","500,000.00","17/11/2021 16:42","5000000027","SURABAYA RENTAL TRIP","SURABAYA RENTAL TRIP","58341278","09/11/2021 20:00","TIVPANDAAN","SUMOBITO","TIVSUMOBITO","Completed","TL",2,980," ","09/11/2021 15:57","TRONTON_WB","980.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","18/11/2021 08:47"
58341294,"S21110900042","BAHANA PRESTASI","OTHER CHARGES","600,000.00","FLAT","600,000.00","11/11/2021 14:55","5000000027","SURABAYA RENTAL TRIP","SURABAYA RENTAL TRIP","58341294","09/11/2021 20:00","TIVPANDAAN","GEDANGAN","TIVGEDANGAN","Completed","TL",2,980," ","09/11/2021 15:56","TRONTON_WB","980.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","11/11/2021 15:00"
