2343,ANA(TR),DEFAULT,ALL,ANAKLAPANUNGGAL,"ANAKELAPA GADING"
2344,ANA(TR),DEFAULT,ALL,ANAKLAPANUNGGAL,"ANABEKASI SELATAN"
2345,ANA(TR),DEFAULT,ALL,ANAKLAPANUNGGAL,ANACIPONDOH
2346,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAMUSTIKA JAYA"
2347,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACIBADAK
2348,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACIAWI
2349,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACIBARUSAH
2350,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAMEDAN SATRIA"
2351,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANARAWALUMBU
2352,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANATARUMAJAYA
2353,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANABABAKAN MADANG"
2354,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANASAWANGAN
2355,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACIKUPA
2356,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACILEDUG
2357,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAKARANG TENGAH"
2358,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACIPONDOH
2359,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACIAMPEA
2360,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAKEBON JERUK"
2361,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAKEMBANGAN
2362,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAKEMAYORAN
2363,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAKEBAYORAN BARU"
2364,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAMAMPANG PRAPATAN"
2365,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAPANCORAN
2366,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAPASAR MINGGU"
2367,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACAKUNG
2368,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACIRACAS
2369,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAKOJA
2370,ANA(TR),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAJATIASIH
