ROW;COMPANY REFERENCE;LOCATION;ADDRESS 1;ADDRESS 2;ADDRESS 3;LATITUDE;LONGITUDE;POSTAL CODE;REVISION
1433;IKPCIKARANG UTARA(R3);IKPCIKARANG UTARA(R3);CIKARANG UTARA(R3);CIKARANG UTARA(R3);CIKARANG;0;0;17534;17530
1453;CMUKAMAL;CMUKAMAL;KAMAL;LEGOK;TANGERANG;0;0;15853;15820
1468;NLSCIKARANG SELATAN;NLSCIKARANG SELATAN;CIKARANG SELATAN;CIKARANG SELATAN;CIKARANG;-6,316,318;107,131,467;17550;17530
1469;NLSCIKARANG UTARA;NLSCIKARANG UTARA;CIKARANG UTARA;CIKARANG UTARA;CIKARANG;-6,249,168;107,169,124;17534;17530
1501;SBIPADUREANAN;SBIPADUREANAN;PADUREANAN;PADUREANAN;BOGOR;0;0;16270;16340
1505;LNXCITRA(CNK);LNXCITRA(CNK);JALAN JATI RAYA BLOK 3 NO 6;KAWASAN INDUSTRI LIPPO CIKARANG;BEKASI;-6,316,318;107,131,467;17550;17530
1521;SCGCILAKU;SCGCILAKU;CILAKU;CILAKU;CILAKU;0;0;16378;16370
1540;SCGCIPATAT;SCGCIPATAT;CIPATAT;CIPATAT;CIPATAT;-6,833,783;107,343,161;40754;40554
1548;EXIPANONGAN;EXIPANONGAN;PANONGAN;PANONGAN;TANGERANG;0;0;15711;15710
1603;SCGCISALAK;SCGCISALAK;CISALAK;CISALAK;CISALAK;-635,976;106,868,555;16952;16416
1610;SCGLEUWISADENG;SCGLEUWISADENG;LEUWISADENG;LEUWISADENG;LEUWISADENG;-6,566,453;106,595,858;16285;16640
1625;LNXCHANDRA(CNC);LNXCHANDRA(CNC);JALAN AKASIA 2 BLOK AE NO 25;KAWASAN INDUSTRI DELTA SILICON;BEKASI;-6,316,318;107,131,467;17550;17530
1674;SCGWARUNGKONDANG;SCGWARUNGKONDANG;WARUNGKONDANG;WARUNGKONDANG;WARUNGKONDANG;0;0;43260;43261
1699;TIVCITEUREUP;TIVCITEUREUP;CITEUREUP;CITEUREUP;BOGOR;-6,485,174;106,872,681;16811;16810
1712;SCGCIKADU;SCGCIKADU;CIKADU;CIKADU;CIKADU;0;0;43286;43284
1714;SCGKETAPANG;SCGKETAPANG;KETAPANG;KETAPANG;KETAPANG;-1,859,098;109,971,901;40355;78821
1732;SCGCISEENG;SCGCISEENG;CISEENG;CISEENG;CISEENG;-644,926;106,677,936;16387;16120
1753;LNXYAZAKI(SUAI);LNXYAZAKI(SUAI);JALAN CEMPAKA BLOK F16 NO 365;KAWASAN INDUSTRI DELTA SILICON;BEKASI;-6,316,318;107,131,467;17550;17530
1814;SCGKELAPA NUNGGAL;SCGKELAPA NUNGGAL;KELAPA NUNGGAL;KELAPA NUNGGAL;KELAPA NUNGGAL;-6,452,021;106,956,857;16872;16710
1815;SCGMEGAMENDUNG;SCGMEGAMENDUNG;MEGAMENDUNG;MEGAMENDUNG;MEGAMENDUNG;-6,679,384;106,892,647;16772;16770
1816;ILCTELUK JAMBE(R2);ILCTELUK JAMBE(R2);TELUK JAMBE(R2);TELUK JAMBE(R2);KARAWANG;0;0;41360;41361
1846;SCGCILILIN;SCGCILILIN;CILILIN;CILILIN;CILILIN;-6,983,455;107,436,089;40762;40562
1867;SCGSUKAMAKMUR;SCGSUKAMAKMUR;SUKAMAKMUR;SUKAMAKMUR;SUKAMAKMUR;-6,334,138;107,293,207;16831;16830
1875;TIVTELUK JAMBE;TIVTELUK JAMBE;TELUK JAMBE;TELUK JAMBE;TELUK JAMBE;0;0;41360;41361
1883;SCGBOJONGSOANG;SCGBOJONGSOANG;BOJONGSOANG;BOJONGSOANG;BANDUNG;-6,980,759;107,634,157;40354;40288
1886;SCGCIJERUK;SCGCIJERUK;CIJERUK;CIJERUK;CIJERUK;-6,681,491;10,679,706;16785;16740
1919;SCGTAMBUN;SCGTAMBUN;TAMBUN;TAMBUN;TAMBUN;-6,268,253;107,075,647;17511;17510
1954;ABCTIGARAKSA;ABCTIGARAKSA;TIGARAKSA;TIGARAKSA;TANGERANG;0;0;15721;15720
1987;SCGCISARUA;SCGCISARUA;CISARUA;CISARUA;CISARUA;-6,679,949;106,932,287;16759;16750
1992;SCGPALIMANAN;SCGPALIMANAN;PALIMANAN;PALIMANAN;PALIMANAN;-6,708,009;108,433,197;45160;45161
2061;ILCTELUK JAMBE(BL);ILCTELUK JAMBE(BL);TELUK JAMBE;TELUK JAMBE;KARAWANG;-6,335,087;107,321,461;41360;41361
2066;SCGBOJONG GEDE;SCGBOJONG GEDE;BOJONG GEDE;BOJONG GEDE;BOGOR;-6,479,211;10,680,014;16927;16922
